Item No.,Location Code,Description,Category,Subcategory,On_Hand_Display,Stock_Value,Last Posting Date,Status,Days Dormant
D-C-9376,LF-HAR-E57,,DIMMER,,11500,524250.0,13-11-2025,Slow-Moving,72
PK-O-9796,LF-HAR-E57,Status Switch Size Common Outer,PACKAGING,,41661,523841.18000000005,28-10-2025,Slow-Moving,88
22076-G,LF-HAR-E57,,MODULAR,STATUS - GREY ACC,2000,522950.0,12-11-2025,Slow-Moving,73
2526-MW,LF-SIL-017,,SUPPORTED,VALUE,61970,520668.0,12-11-2025,Slow-Moving,73
2496-MW,IN_TRANSIT,X - 5 Converter 6/16A - MW,SUPPORTED,VALUE,17319,519095.41,13-11-2025,Slow-Moving,72
FG-2571,LF-DEL-01,,FG,,2261,515200.0,12-11-2025,Slow-Moving,73
19086-G,IN_TRANSIT,Estella Medium Step Regulator (Grey) - G,MODULAR,ESTELLA,3560,512450.64999999997,13-11-2025,Slow-Moving,72
9856-BL,LF-HAR-E57,Fresh Modular Foot Lamp (3M/4M) - BL,MODULAR,STATUS,4920,510357.68,12-11-2025,Slow-Moving,73
3401-W,IN_TRANSIT,Zoom Musical Chime - W,SUPPORTED,VALUE,4867,508351.26,13-11-2025,Slow-Moving,72
5463-W,LF-DEL-01,TripRite R.C.C.B 63A F.P. (30mA) - W,MCB,TRIPRITE MCB,155,508116.3,01-09-2025,Slow-Moving,145
23263-W,LF-DEL-01,Assure C - MCB 63A SPN - W,MCB,ASSURE MCB,2064,507393.12,01-09-2025,Slow-Moving,145
MCB-5340,LF-DEL-01,SFG Triprite RCCB 40A DP 100mA,MCB,,1561,507110.0,12-11-2025,Slow-Moving,73
C-031,LF-SIL-017,Gold 16A Dolly Small with Big Rivet (5x1.7/2x2.5),CUTTING,,565,506391.28,12-11-2025,Slow-Moving,73
B-002,LF-HAR-E57,Baida STC (0.188 kg),BRASS,,726,505968.18,31-10-2025,Slow-Moving,85
1686-W,LF-SIL-017,,NON-MODULAR,GOLD,13700,500181.0,12-11-2025,Slow-Moving,73
17100-CL,LW-BHI-58,,LIGHTING,SKYLIGHT LED,170,499950.0,10-11-2025,Slow-Moving,75
