Vendor,Total_POs,On_Time_POs,Delayed_POs,On_Time %
SUNRISE POLYMER,16.0,12.0,4.0,75.0
SUPER SALES,1.0,1.0,0.0,100.0
SUPREME CORRUGATING INDUSTRIES PVT.LTD.,6.0,4.0,2.0,66.67
SWAROOP CERAMIC,6.0,3.0,3.0,50.0
SWATI RATHOD - JW,5.0,1.0,4.0,20.0
Satish Brass Product,8.0,1.0,7.0,12.5
Shibura Machine India Private Limited,1.0,0.0,1.0,0.0
Shiv Mahima Enterprises,3.0,0.0,3.0,0.0
Shiv Shakti Packaging Industries,1.0,0.0,1.0,0.0
Shree Ganesh Engineering Works,1.0,0.0,1.0,0.0
Shree Ganesh Industries,10.0,9.0,1.0,90.0
Shree Momai Trading Company,3.0,1.0,2.0,33.33
Siddharth Enterprises,4.0,1.0,3.0,25.0
Super shakti trading co,8.0,8.0,0.0,100.0
Supreme Innovations,8.0,4.0,4.0,50.0
Sushma Tiwari,3.0,2.0,1.0,66.67
Swastik Enterprises,7.0,3.0,4.0,42.86
TANISHA ENTERPRISES,13.0,5.0,8.0,38.46
TELCON BIMETALS,4.0,3.0,1.0,75.0
TIRUPATI SALES CORPORATION,10.0,2.0,8.0,20.0
TISO INDUSTRIES,16.0,13.0,3.0,81.25
TOTAL POLY PRINT PRIVATE LIMITED,6.0,1.0,5.0,16.67
TTR Enterprises,4.0,4.0,0.0,100.0
TWOBROS AND CO,4.0,1.0,3.0,25.0
URVI PLASTIC INDUSTRIES,13.0,12.0,1.0,92.31
URVI PLASTIC INDUSTRIES - HD,2.0,2.0,0.0,100.0
Unimaxe Switchgear,4.0,2.0,2.0,50.0
Unnati Spring Technology,2.0,0.0,2.0,0.0
Uttam Nayak,17.0,10.0,7.0,58.82
V S ENTERPRISES,3.0,0.0,3.0,0.0
VARAHI MATA ENTERPRISE,13.0,6.0,7.0,46.15
VENUS COLOURANTS,20.0,19.0,1.0,95.0
VENUS PRINTS,3.0,3.0,0.0,100.0
VIJAY KUMAR TRIPATHI,13.0,11.0,2.0,84.62
VIKAS AUTOMATES,8.0,8.0,0.0,100.0
VIMALNATH BRASS INDUSTRIES,12.0,6.0,6.0,50.0
VISHAL PRECISION MOULDS,2.0,1.0,1.0,50.0
VISION INDUSTRIALS,1.0,1.0,0.0,100.0
VIVANI ELECTRONICS,9.0,4.0,5.0,44.44
Vardan Enterprises,10.0,10.0,0.0,100.0
Veda Excom Pvt Ltd,8.0,3.0,5.0,37.5
Venus Industries,22.0,9.0,13.0,40.91
Vivek Kumar,196.0,195.0,1.0,99.49
WANNENG TRADING COMPANY,1.0,1.0,0.0,100.0
WILSON ENGINEERING INDUSTRY,11.0,9.0,2.0,81.82
WISTO TECH,3.0,3.0,0.0,100.0
WITCO POTTERIES,8.0,2.0,6.0,25.0
Wirecom India Pvt. Ltd,9.0,0.0,9.0,0.0
YAASHVI ENTERPRISES,1.0,0.0,1.0,0.0
Yamuna Brass Industries,3.0,0.0,3.0,0.0
Yogi Tilak industries,1.0,0.0,1.0,0.0
ZODIAC METAL STRIPS LTD,3.0,3.0,0.0,100.0
Zenith Spray & Aerosols (P) Ltd,6.0,2.0,4.0,33.33
,,,,
,,,,
,,,,
,,,,
