Item No.,Location Code,Description,Category,Subcategory,On_Hand,Stock_Value,Last Outward Date,Days Dormant,Status,Days Dormant Display
PK-I-23206,LF-DEL-01,Assure MCB SPN Inner,PACKAGING,,17436.0,54711.9,2025-10-06,93.0,Slow-Moving,93.0
PK-I-23306,LF-DEL-01,Assure MCB DP Inner,PACKAGING,,17408.0,42520.4,2025-11-08,60.0,Active,60.0
PK-I-23406,LF-DEL-01,Assure MCB TP Inner,PACKAGING,,2380.0,8905.0,2025-10-06,93.0,Slow-Moving,93.0
PK-I-23506,LF-DEL-01,Assure MCB TPN Inner,PACKAGING,,5337.0,17939.25,2025-10-17,82.0,Slow-Moving,82.0
PK-I-2351,LF-AND-28,,PACKAGING,,3150.0,14036.5,2025-11-13,55.0,Active,55.0
PK-I-2351,LF-SIL-017,,PACKAGING,,50.0,209.5,2025-10-06,93.0,Slow-Moving,93.0
PK-I-2356,LF-AND-28,Gold 5x1 Box Inner,PACKAGING,,10370.0,61567.89,2025-11-12,56.0,Active,56.0
PK-I-2356,LF-SIL-017,Gold 5x1 Box Inner,PACKAGING,,10645.0,74874.45,2025-11-13,55.0,Active,55.0
PK-I-23606,LF-DEL-01,Assure MCB FP Inner,PACKAGING,,3357.0,11714.95,2025-10-06,93.0,Slow-Moving,93.0
PK-I-2376,LF-AND-28,Tiny DP Inner,PACKAGING,,2420.0,3976.0,2025-09-22,107.0,Slow-Moving,107.0
PK-I-2401,LF-HAR-E57,Eco DP Inner,PACKAGING,,5700.0,17385.0,,,Dead,Never Moved
PK-I-2406,LF-AND-28,,PACKAGING,,7446.0,24800.0,2025-11-13,55.0,Active,55.0
PK-I-2406,LF-SIL-017,,PACKAGING,,8430.0,44640.0,2025-11-13,55.0,Active,55.0
PK-I-24725,LF-DEL-01,RCCB DP Inner For Assure,PACKAGING,,9079.0,35490.0,2025-11-10,58.0,Active,58.0
PK-I-24840,LF-DEL-01,RCCB FP Inner For Assure,PACKAGING,,2771.0,16260.0,2025-11-08,60.0,Active,60.0
PK-I-25225,LF-DEL-01,Assure Changeover DP Inner,PACKAGING,,7354.0,22173.22,2025-11-08,60.0,Active,60.0
PK-I-25425,LF-DEL-01,Changeover FP Inner For Assure,PACKAGING,,2800.0,9464.0,2025-10-06,93.0,Slow-Moving,93.0
PK-I-2711,LF-HAR-E57,MCB 4x1 Box Inner,PACKAGING,,8400.0,27552.0,2025-11-10,58.0,Active,58.0
PK-I-3051,LF-AND-28,Surf Dim 400W / Surface Step Reg Inner,PACKAGING,,600.0,12747.2,2025-09-22,107.0,Slow-Moving,107.0
PK-I-3076,LF-AND-28,Big Boss 400W / 600W Inner,PACKAGING,,2690.0,8742.5,,,Dead,Never Moved
PK-I-3086,LF-AND-28,Metal 1000W / 2000W Inner,PACKAGING,,2670.0,9852.3,,,Dead,Never Moved
PK-I-3106,LF-DEL-01,Triprite MCB SP Inner,PACKAGING,,76127.0,139104.0,2025-11-11,57.0,Active,57.0
PK-I-3196,LF-SIL-017,Gold Mini Dim Inner,PACKAGING,,35200.0,37800.0,2025-11-12,56.0,Active,56.0
PK-I-3206,LF-DEL-01,Triprite MCB DP Inner,PACKAGING,,3838.0,39604.8,2025-11-13,55.0,Active,55.0
PK-I-3306,LF-DEL-01,Triprite MCB TP Inner,PACKAGING,,7945.0,27633.6,2025-11-05,63.0,Slow-Moving,63.0
PK-I-3406,LF-DEL-01,Triprite MCB FP Inner,PACKAGING,,2790.0,11315.92,2025-11-13,55.0,Active,55.0
PK-I-3506,LF-DEL-01,Triprite MCB SPN Inner,PACKAGING,,15260.0,42556.8,2025-11-08,60.0,Active,60.0
PK-I-3606,LF-DEL-01,Triprite MCB TPN Inner,PACKAGING,,1727.0,8085.0,2025-11-05,63.0,Slow-Moving,63.0
